car_number,vehicle_type,garage_id,duration_hours,entry_time,exit_time,bill_amount
BMW1,Car,2,3,2025-12-13 13:44:07,2025-12-13 13:45:56,12.00
Marcedes,Car,2,4,2025-12-13 13:44:31,2025-12-13 13:46:39,16.00
123,Car,1,1,2025-12-13 13:39:26,2025-12-13 13:47:00,5.00
11-7288,Car,2,1,2025-12-13 13:47:54,2025-12-13 13:48:11,4.00
123,Car,2,3,2025-12-13 13:48:27,2025-12-13 13:50:50,12.00
321,Bike,2,1,2025-12-13 13:49:20,2025-12-16 02:36:24,1.50
2342223,Bike,1,1,2025-12-13 13:49:49,2025-12-16 02:36:37,2.00
45645645,Bike,1,1,2025-12-13 13:49:53,2025-12-16 02:36:47,2.00
28,Car,3,12,2025-12-13 14:14:34,2025-12-16 02:36:54,72.00
12345,Car,2,4,2025-12-16 02:35:59,2025-12-16 02:37:08,16.00
12345,Car,1,4,2025-12-16 02:54:41,2025-12-16 02:56:06,20.00
123,Car,1,1,2025-12-16 12:13:44,2025-12-16 12:14:08,5.00
1234-asha,Car,1,4,2025-12-16 02:56:22,2025-12-16 12:14:16,20.00
Axio-123,Car,1,4,2025-12-16 02:38:00,2025-12-16 12:14:28,20.00
Toyota-123,Car,3,4,2025-12-16 02:37:33,2025-12-16 12:14:41,24.00
